__label__anger __label__sadness	i just tried installing those missing plugins ... what a pain !
__label__anger	what i want to know is , what does create ? what can i do with it ? what does it mean ? every tutorial without fail will avoid talking about the first version entirely the reason the tutorial does n't rell you what to do with it is that it really is totally useless ! it allocates a single and gives you a pointer to that . the problem is that if you want an int , why do n't you just declare one ?
__label__anger	putting data in the id is a terrible , terrible idea .
__label__anger	i have a function name called setvalue , used in many classes . also , i have a global function by the same name . when i press c - ] , it goes to arbitrary setvalue function . how do i directly jump to the global setvalue function ? it is really pain to use tnext every time to find if the function global .
__label__anger	the tumblr iphone app looks awful -- both the gradients and the unnecessary boxed look imposed by the gray border . stick to the standard uitableview look . what apple uses for * their * apps is what looks most professional , not random novelty stuff .
__label__anger	indexed lookups in linkedlists are o (n) . that 'd could be terrible for a d array !
__label__anger	i recommend virtualbox . every time i use vpc i soon give up because the performance is terrible . i run virtualbox with a vista virtual pc allocated .5gb ram and it runs really well . in fact i do n't really notice much slow down from running natively .
__label__anger	i am extracting some data from sql server . one of the columns is a ntext column that has a blob of xml there . as i extract it , it looks really ugly . is there any way to format the xml inside a sql server stored proc ?
__label__anger	there 's some debate over that faq entry . yes , by all means , answer your own question . but if you routinely have a set of pre-baked questions and answers , then this site just becomes a blog , rather than an exchange . you have the misfortune of picking a day when someone abused the spirit of that faq .
__label__anger	i just flashed back to an old broderbund game … ca n't remember the name of it . awful cgi graphics , lots of cannon battles in old ships … maybe the first pirates game ? damn , that was an awful game . had a rollup scroll in it .
__label__anger	is search and replace the only way to rename as asp control in the code behind file ? i find this extremely annoying , but it is the only way i can find . scenario : i 'll find a variable that needs renaming ( usually to meet naming convention ) i 'll rename the variable in the aspx / ascx file . i 'll have to go in the code behind files and search and replace . i get annoyed are there any better ways - preferably that would not touch a similarly named variable in another scope in the project . i 'm on vs2008 with resharper -- does vs2010 address this perhaps ?
__label__anger	can you be any more specific about the scenario you have in mind ? " optimization " is a terribly broad category .
__label__anger	one thing i forgot , make sure the dev database you are running the migration from ( the sql server database ) is updated from production immediately before each test run . hate to have something fail on prod because you were testing against outdated records .
__label__anger	enlightenment dr16 is packaged with opensuse but it 's a bit painful to use with kde apps as there 's no obvious ( on the enlightenment site , google etc. ) way to provide a systray for kde apps that require one ( e.g. , ktorrent ) . anyone know of a way around this ? i 'm not using e for the eye - candy - i 'm running on a .6ghz celeron and kde ( ) performance is n't exactly stellar so i 'm trying out a few alternatives .
__label__anger	do n't repost your blog posts .
__label__anger	too bad it has n't been updated in years . and using the fetch / gclient is really painful
__label__anger	since changesets are becoming too many to handle because of many checkins , i 'm thinking of selecting multiple changesets then create a single work item link for code review purposes . it 's really painful to create work item per changeset and assign to a code - reviewer . is this possible ?
__label__anger	or a working iphone example . with so many classes it 's a pain to figure out what calls what
__label__anger	still printed but had that dreaded extra page ! 😐
__label__anger	@vascowhite i tried deleting all the products from the cms then added a new one and the same message appears . really frustrating !
__label__anger	my form receives asynchronous callbacks from another object on random worker threads . i have been passing the data to the main thread ( where it can be used to update onscreen controls ) using delegates as shown below . performance is dreadful -- once i reach updates per second , the program completely locks up . my gui processing itself is not the problem , as i can simulate this level of updating within the form and have no problems . is there a more efficient mechanism i should be using to hand off the data from thread to thread ?
__label__anger	my guess would be from a colleague who wanted to scare this person out of ever using ' this ' again . it can be fairly annoying when someone uses ' this ' for every single thing they do . not that it justifies lying to a new programmer , but i can imagine someone doing this out of frustration .
__label__anger	more of a caution than a fix . ensure you are not an administrator of your page as being one fires both visible - to - connection and the else . very annoying !
__label__anger	makes sense , and it 's very similiar to what i am doing . one ant task for stage and one for production , and just using the defaults for local development . but pain arises from mainting different applicationcontexts which have almost identical content …
__label__anger	in the end the answer was - yes - indeed . it was simply a delay between me adding my google test account and it actually being recognised as such 😡 ! google should have a warning about this - in-app billing is a complete nightmare to code !
__label__anger	in netbeans , if i select some text and press , it works correctly and the text is indented to the right side as expected . but if i then try to backspace behind the text , it only removes one space at a time . very annoying . is there any way to change this setting , so backspacing behind a tabbed line causes the whole tab to be removed and not just space ?
__label__anger	there is a way to fix everything , but you will still hate the autotools until the end of time !
__label__anger	i was getting the same error when i tried to submit a version update from the organizer . what solved my issue was using the application loader found in the directory / developer / applications / utilities . you 'll need to compress your . app file and send the corresponding . zip file . i used this for my initial submission as well , i just thought i 'd try the new way . what a pain ! go with application loader .
__label__anger	an example : extremely frustrating !
__label__anger	i 'm trying to run a windows command in python that requires admin access . i have figured out a way using runas , but it opens a user account control pop - up , which almost defeats the purpose of the automation and is really annoying ! is there any way around this ? here 's my code for the admin command :
__label__anger	i would suggest flexunit for automated testing of libraries you 're building but it is a serious pain to use for a full application .
__label__anger	i have a function : basically it just uses the plugin to nudge an image on mouseover to one slide and then another , to give the effect of a shake . i can see my code looks absolutely horrible , ( i come from a php / c # background ) can anoyone suggest a better means to achieve my goal ?
__label__anger	no , they 've stopped working again and gone back to the forbidden message . incredibly annoying .
__label__anger	back in the day i had to solve this with a panel where the text box is a component inside and had dockpadding set to or pixels . i 'd then style that panel to a single pixel . i always found this really annoying !
__label__anger	lotus notes….aaaaargh !
__label__anger	yeah , compiled , but output is so horrible ! ! !
__label__anger	how does one make m - ( the default behavior for typing an opening " ( " character ? i want emacs to automatically insert the closing " ) " after the cursor when i type a " ( " character regardless of whether it 's part of an m - key combination . additionaly , i want to extend this behavior to quotes , subquotes , brackets and braces . typing m - ( is a pain , and there do n't appear to be any comparable forms for those other characters .
__label__anger	i have an asp:menu control that has four different menu items in it . each menu item has a graphic and a text description . my problem is the icon and text have no padding between them and it just looks ugly ! does anyone know how i can force a bit of padding between the image and text of the menu item ? i 've looked at all of the attributes on the asp:menu control , but i have n't been able to find one for this , but i may have just missed it .
__label__anger	in sublime text , if i press escape the page goes into command mode , which seems to take text input as commands , rather than actually typing the text . another oddity is the visual mode , and i have no idea what it does besides it seems to highlight text . i think they came installed with the theme that i got , ' soda ' , maybe . anyway , i searched and found out you can turn off command mode by pressing ' i ' . regardless , both of these modes are extremely annoying , how do i get rid of them ?
__label__anger	if i can avoid it , no . and , to my knowledge , there is always a way to avoid it . but i 'm not stating that it 's totally useless either
__label__anger	yes another reason to hate ie !
__label__anger	i absolutely hate how tabs work in xcode . however , the only workaround i found that works decent is using the osx tabs shortcuts : ctrl + cmd + - > ctrl + cmd + < -
__label__anger	i 'm calling onto some code that returns me an http response . i can get the contents of the response which returns me a byte array . the bytes represent a zip file that i would like to extract and get the contents of a single file ( the zip only contains one file ) . currently i have some messy code ( i 'll need to clean it up if i keep it ) that seems to work : but was wondering whether there was a cleaner way to do the same thing because the above looks incredibly ugly .
__label__anger	on python prompt it works fine ! ! can anyone has idea why my program is not working from . py file as import is working perfect from python prompt .
__label__anger	i have a fairly large codebase with several directories and files and i would like to check out a view or have a view as of a given date ( septermber 12th ) . i am manually checking file histories and doing and this is extremely painful . i wonder if there is a way to do a checkout and load everything as of a particular day at once ?
__label__sadness __label__fear	sorry ! had some syntax issue , i fixed it and it works now….what should i do with the question ?
__label__love __label__anger	i agree with ceejayoz . talk about an absolutely horrible user experience .
__label__surprise	this one does not : why is that ?
__label__surprise	i 'm working on java web application and using from and as a web server . when i build the project , build complete successfully but when i start , the files that created during build in folder , getting to deleted ! !
__label__surprise	i 'm curious , should n't the other question be marked as a duplicate of this one ? this question is two years older and has a higher rated answer .
__label__love	no worries , and upvote to your answer !
__label__love	yeah it working fine 🙂 thanks ! !
__label__love	in javamail , you can use as the url scheme to use imap over ssl. ( see in your javamail distribution for more details . ) for example , . similarly , use to send emails via gmail . e.g. , . again , read for more details . hope it helps !
__label__love	thank you for the excellent answers ! @arnoldspence is correct : it is indeed a case of memory fragmentation . i confirmed this by modifying my example above to allocate a series of mb buffers after the reaching the " out of memory " condition . sure enough , these all succeeded ( up to the 2gb limit ) .
__label__love	unless you use jetbrains 's excellent tools !
__label__love	that 's what i 'm going for , i think . if you could help with the code , i 'd be thrilled !
__label__love	i can not recommend higher than you reading through the postings of bart de smet ( ) , he is really brilliant when it comes to lambda . his recent series covered dynamic lambda , starting with absolutely beautiful code .
__label__love	awesome , awesome answer . thank you very much .
__label__love	@eat wow ! excellent point ! i do n't know why i did n't see that before . that solves the issue with np . reshape and now i can use that . no need for another thread . thanks again !
__label__love	very good point ! i 've changed my example code .
__label__love	i am creating a small widget and i want to allow others to use it . the iframe is loaded from http - but i want to allow users to login via https i.e. that is - send a request for login via ssl is this allowed within the same - origin policies or ? i.e. the scenario is that a user can integrate my javascript to their website , the widget opens and i want to allow them to login via https ? any help would be hugely appreciated 🙂
__label__love	this sounds like an excellent project ! you might want to start with the module . you might also be interested in the module . perhaps to get you started , here 's a function that takes a path to a file and backs the file up by copying it and giving it a . bak extension .
__label__love	i 'd really love this to work in ie . i 'm not able to change the fact that tables should not be used here . ie is the only browser the project i 'm working on is required to support . here 's the code : i 've been using the tryit editor to play with this . thanks in advance for your help !
__label__love	excellent answer !
__label__love	works great ! and you can add " desc " after the end to sort in other direction . in which case the strings will show first . i like how this solution does nt actually pad the numbers in the result output .
__label__love	your logerrors method is great ! literally saved me today .
__label__love	excellent comment , flea . my head asplode .
__label__love	just started testing as a crm solution for our company . someone asked for a google map on the page showing our upcoming engagements . i know zoho provides an api that allows accessing its data from the outside , but i actually need to integrate the map on the data - entry form . if anyone could provide a pointer to any mashup with zoho crm ( be it google maps , bing maps , or any similar web service ) , i would be extremely grateful .
__label__love	very useful question and an excellent answer ! thanks
__label__love	excellent ! exactly what i was looking for . thanks .
__label__love	well , you are really brave ! implementing a linq provider all be yourself …
__label__love	short and to the point … excellent ! upvote
__label__love	you are awesome !
__label__love	interesting idea . best of luck !
__label__love	i am posting my values from database here , code : ? > then i am trying to write out all rows of my array but ca n't get to understand how . however , this is the code from my script . hope you can help somehow . thanks . i ca n't find a solution so i am very greatful for good and simple answers !
__label__love	i 'm learning c ++ , then i was searching for some codes for learn something in the area that i love : file i / o , but i want to know how i can tweak my code for the user type the file that he wants to see , like in wget , but with my program like this : the code of my program is here : thanks !
__label__love	i 'm trying to make a page where the user can input data into four different values in four different text boxes , and the values can be stored by using local storage , and then when the user refreshes the page or opens it in a new tab , those previously entered values are still there . any advice on how to do this would be really great ! here 's the code that i have currently :
__label__love	oh wow ! that does an excellent work ! thank you !
__label__love	i am a newbie in flex . latest task is to generate a graph or a netwrok based on the data input . what is the best way to do it . also when clicked on a node of a network it should show the associated data with that node . hope to get some help soon ! thanks , kartik
__label__love	i always recommend for a good starting point for beginners - especially those who have seen sql but never understood how to build up a query them selves or how they work . all celko 's books are great . hernandez 's mere mortals book is good . ken henderson 's books are also excellent .
__label__love	i love raymond chen 's blog ! i would have considered putting this in the suggestion box if it was n't closed .
__label__love	if you are looking to load asynchronously javascript scripts , in the right order , i shall recommend you $ script . js developed by the twitter javascript lead dev it 's really great ! !
__label__love	i 'm using this code to launch a . cmd file : it works fine , but i want to actually see the cmd . exe window running . how can i make it show ? any help would be greatly appreciated !
__label__love	i have a series with many null values all over the place on the line . i need the gap between those values to be represented with a dotted - line or whatever ( another color ) . any help will be very welcome 🙂 thanks !
__label__love	thanks for all your input . i came across this extension and it worked really great for me !
__label__love	excellent , now that i know the name i can easily google tutorials ! ty ! 🙂
__label__love	i 'm sure lots of people will say this by the time i 've typed this but … i know it 's not php but we 're finding just the job for this kind of thing . it really is an excellent piece of software .
__label__love	i have a string with some markup which looks like this : i 'm trying to strip away everything except the anchor elements with " entry: // id = " inside . thus the desired output from the above example would be : writing this match , the closest i 've come so far is : but i ca n't figure out why this does n't work . any help ( apart from the " why do n't you use a parser " 🙂 would be greatly appreciated !
__label__love	that 's great ! thanks a lot for the tip !
__label__love	i 'm trying to create a small snippet to allow the onloaded image to be adjusted to fit the users resolution . and then allow the user to toggle between the actual image size , and the adjusted image size for their resolution . here 's what i got so far : any help is greatly appreciated !
__label__love	excellent approach !
__label__love	i m using watir .. w ruby … excellent ! ! !
__label__love	i 'm trying to initialize an nsarray in the loadview method . and when i initialize it , it has a certain address in the memory . then when i touch the screen i call the refresh method . when i debug the blends array here , it has the same address , but the content is { ( int ) [ $var count ] } objects … here is my code : i hope someone can help me , cause i 'm stuck for a long time ! thnx ! !
__label__love	excellent ! appears to be a far cleaner solution . http://bl.ocks.org/mbostock/
__label__love	there is this about hardware to improve compile time . also this really excellent from scott guthrie on looking at hard drive speed for performance .
__label__love	i agree with pw. opal is an excellent choice . it supports audio and video devices it compiles on windows , linux , and a few others also - i recommend using the sip protocol ( as opposed to h323 ) - you do n't need to use ekiga . ekiga is a front - end to opal . you can take a look at the opal samples , and build up from those .
__label__love	i 'm trying to make our mysql database run faster and i 've analyzed our slow query log and the most common slow query is this : i 'm trying to understand why this query keeps getting called because after the table is setup it should not keep happening . the explain result for this is : can not convert to a select statement . any ideas on this would be fantastic ! paul
__label__love	i have just read and i really loved to the question . naturally , an interesting question popped in my head … how to add my own events ( of my own applications ) in the control panel - > sounds and audio devices - > sounds - > program events ? and another related question , that i suppose should be answered here as well is … how do i play those sounds specified in the control panel , when the event in my application occurs ?
__label__love	if / when you figure this out - you definitely need to share it back to the world … i 'd love something like this !
__label__love	i am new to android and i ca n't seem to find a step-by - step tutorial on getting the jseinstein slidemenu to work in android studio . i downloaded the files via the link " download zip " on this page : from there on , i tried pulling this in to an android project , but ca n't seem to get the structure right like i would really love a real structured and up-to - date tutorial on how to do this , because the slide menu is simply great 🙂 any help would be appreciated !
__label__love	do n't forget this excellent devnet article meant for transitioning from as2 to as3 :
__label__love	i 'm building a little script that changes content and css live on the page based upon the values of various input fields . i 'm able to change the content " live " absolutely fine as you 'll see here : i 'm not able to get this working with the css method using the same principles though : thanks !
__label__love	you have my deepest sympathies . i feel your pain . i was trapped in that world for a while .
__label__love	oops , forgot abot that ! but excellent stuff ! thanx for your time and patience nonnb !
__label__love	excellent ! you just gave me a lesson 🙂
__label__love	related : doug lea put this up last week , pretty awesome !
__label__love	good morning , - a really awesome grid for desktop and mobile here are a few resources that might get you on your way ! jmax
__label__love	i 'm trying to create a grid ( matrix ) of squares in a given area with n columns and m rows , and an option to set a spacing between the squares if desired . the grid should fill squares with random coloring . i 'd also like to add a zoom function , so the colored squares will appear much bigger in a region that is double - clicked . can anyone suggest a good method to generate the grid and assign random colors to the squares ? if you can suggest how to create the zoom effect too that would be super 🙂 i 'm new to canvas , so any method help would be great ! thanks
__label__love	i need to transform this : into this : i tried to use wrapall with jquery , something like that : any suggestions would be really appreciated 🙂 thank you very much !
__label__love	in my mysql table , there is a row labeled " state " . there are values possible for this . how could i utilise php to echo " unbanned " as apposed to " " in state ? and " banned " as apposed to " " and " temp - banned " as apposed to " " ? how would i use php to display " unbanned " instead of in the mysql ? i am using a table for this . all help is incredibly appreciated 🙂
__label__love	hey piper , i saw you posting a lot of ` git ` questions tonight ( which is completely fine ! ) but just wanted to make sure you were aware of http://gitready.com and the git community book : http://book.git-scm.com/ which might help you with some of your questions . the community book even has some screencasts in it . again , feel free to ask questions here … just wanted to pass that along to you .
__label__love	this library is fantastic , made my app much faster , thanks !
__label__love	there 's lots of things that i do n't know about languages and syntax . upvote because i learned that you can make a setter private inside a public property . awesomeness ensues !
__label__love	excellent question ! there does n't appear to be a control in eclipse to do it , but these two blog entries : both say it can be done in the windows registry . caveat : i have not tried this .
__label__love	if you want to search give red gate 's excellent tool a try ( its free ! ) but it 's only for sql server though .
__label__love	does itextsharp support windows metro apps ? i am trying to create pdfs from a c # metro app , but pdfwriter . getinstance requires some arguments which is not available in winrt . any help would be extremely appreciated !
__label__love	it sounds like you might want to use . it is extremely awesome . if you use datejs , here 's how you could do it : ex . for me : returns an array with date objects :
__label__love	can do it ! and you can find other plugins on the . note that you can not use this plugin with github pages . this video is excellent !
__label__love	@george - very helpful , thanks !
__label__love	that migration doc was essential for me , great link !
__label__love	no worries stephen !
__label__love	@ryanc : excellent ! now i understand what is going on , rather than just thrashing , as before . i think your explanation ( about the canvas ignoring ` refresh - now ` before it is open ) is very sensible . ( if any racket developers are listening here , it seems a valuable tool would be a way to pause until the frame is ready for action , platform - independent . )
__label__love	omar al zabir has an excellent post on using cache item callbacks for this purpose .
__label__love	thanks , i 'll check them out . i 'm loving that there 's so many different answers to try out … if only i had the time to understand them all
