__label__fear	given the dependencies ; i do n't think this is going to be an option for the cannonical struts distribution ; unless it is reworked to use ibatis or cayenne .
__label__love	hey tom , the change in your patch looks good . latest patch just updates two tests . i 'll commit this if hudson comes back ok . thanks , eli
__label__love	i just committed this . thanks , amareshwari !
__label__love	thanks , andreas , i will check it ,
__label__love	hi jacques , hi ankit ... i think i found the reason why we ca n't call layer recursivly ... i made a patch but i ca n't sync my trunk today ( i 'm at our friends house and they have only internet via gps connection ... it 's so slow :-d ) . i will provide the patch on monday morning . have a good weekend sascha
__label__love	incorporating konstantin 's comment thanks , mayank
__label__love	committed to trunk and 4x . thanks simon !
__label__love	thanks bilgin , it is working fine now .
__label__love __label__joy	upvote i committed this . thanks , jothi !
__label__love __label__joy	upvote i committed this . thanks , kay kay !
__label__love __label__joy	upvote the patch looks good to me . i will commit this later .
__label__love __label__joy	bq. opened lucene- . thanks ! i committed this to trunk and backported to .x nice iterations … 😉 heavy committing
__label__love __label__joy	nice ! thanks for adding nice debug logging , too 🙂
__label__love __label__joy	hi paulex , the fix looks good , thanks ! best regards , andrew
__label__joy	upvote patch looks good
__label__joy	the patches look good 🙂
__label__joy	jonathan : over to you 🙂
__label__joy	is that ok for this file ( b / c i have no idea how to do the svn move now ... after i 've made all the changes already ) 🙂
__label__joy	john it would be great !
__label__joy	the patch & tests look good to me .
__label__joy	many thanks , neeme .
__label__joy	awesome - great stuff maria . thanks !
__label__joy	thanks koji !
__label__joy	i like the elegant parser !
__label__joy	great . awesome job sergey !
__label__joy	this is awesome !
__label__joy	looks good , thanks !
__label__joy	looks good to me .
__label__joy	upvote looks good to me .
__label__joy	took me a few seconds to get it , but then i realized how awesome it is .
__label__joy	thanks galder :)
__label__joy	looks like the issues are timeout related….should be good to go .
__label__joy	thanks bryan !
__label__joy	good advice , this works …
__label__joy	great last enhancements , thanks guys !
__label__joy	thanks , owen !
